Price,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,GETN3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA,ALLD3.SA,BMOB3.SA,DTCY3.SA,ENJU3.SA,GETN3.SA,INTB3.SA,LWSA3.SA,NEXP3.SA,NGRD3.SA,POSI3.SA,SYNE3.SA,TOTS3.SA,TRAD3.SA,VSTE3.SA,WEGE3.SA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,4.569275856018066,,,,,245.23208618164062,,7.93654727935791,7.567327499389648,21.646764755249023,,133.31771850585938,16.412872314453125,,,4.569275856018066,,,,,252.56460571289062,,8.155270817970903,7.808306382501665,21.90971925988954,,137.0385757260484,16.519993566987406,,,4.569275856018066,,,,,240.34373474121094,,7.928735538165286,7.391001309628866,20.316343277805885,,133.31771850585938,16.170684439588538,,,4.569275856018066,,,,,240.34373474121094,,8.022474942539498,7.405695485748809,20.42590750510323,,136.00940759279183,16.254518772298514,,,225,,,,,7904,,831500,623400,10977505,,30675.0,5876000
2020-01-03,,,,4.436191082000732,,,,,224.45660400390625,,7.764692306518555,7.552633285522461,22.1069393157959,,131.25936889648438,16.20328712463379,,,4.613637924194336,,,,,241.15846252441406,,7.920924142620295,7.567326899952962,22.1069393157959,,136.24690162435274,16.417529638190395,,,4.436191082000732,,,,,224.45660400390625,,7.6006494745866116,7.4086331735813395,21.286772368161966,,129.91352433500202,16.147396382827413,,,4.613637924194336,,,,,237.89956665039062,,7.920924142620295,7.420388513546109,21.286772368161966,,131.10103068925997,16.301093257777694,,,225,,,,,8648,,1239400,307700,18487512,,20287.0,7345800
2020-01-06,,,,4.436191082000732,,,,,228.93759155273438,,7.444418907165527,7.6143479347229,21.60294532775879,,129.35934448242188,16.24519920349121,,,4.436191082000732,,,,,234.23330688476562,,7.764692852761756,7.643735727181401,21.91285394690419,,132.60520194899746,16.34766197801456,,,4.436191082000732,,,,,211.4210205078125,,7.420984428089102,7.40863394803892,21.59668394902908,,127.93433094100602,16.016983187637507,,,4.436191082000732,,,,,224.0492401123047,,7.733446632336968,7.552634075033018,21.906594363809333,,131.1801884075816,16.161364893722716,,,0,,,,,10270,,1123900,307400,6981010,,12162.0,6366600
2020-01-07,,,,4.8531928062438965,,,,,232.1964874267578,,7.717823505401611,7.558510780334473,21.693721771240234,,128.96351623535156,16.370954513549805,,,4.8531928062438965,,,,,244.00999450683594,,8.061531912741163,7.629041142142552,21.85650141647152,,131.0218523848757,16.38026785977606,,,4.347466945648193,,,,,224.45660400390625,,7.475664750595007,7.420388891859337,21.302418918503356,,125.08431348055764,16.14273844408998,,,4.44506311416626,,,,,228.93759155273438,,7.475664750595007,7.629041142142552,21.75632836021836,,130.54685289652102,16.259174815376454,,,1577,,,,,5528,,2072100,263800,7438732,,23412.0,6303600
2020-01-08,,,,4.8531928062438965,,,,,226.0860595703125,,7.530346393585205,7.593776702880859,21.4025936126709,,129.0426788330078,15.75151252746582,,,4.8531928062438965,,,,,235.8627471923828,,7.913112770959151,7.608470318953233,21.78763328978437,,130.46769249299805,16.403556932325106,,,4.8531928062438965,,,,,224.0492401123047,,7.506911170095554,7.38806271471449,21.036336271239332,,125.24265247300883,15.75151252746582,,,4.8531928062438965,,,,,235.04803466796875,,7.678765750843125,7.5585112395714305,21.78763328978437,,129.6760165596743,16.394241809206765,,,1803,,,,,6429,,1013900,404500,5422891,,23787.0,8153800
2020-01-09,,,,4.8531928062438965,,,,,215.90200805664062,,7.592838764190674,7.508551597595215,21.756330490112305,,133.95106506347656,15.518634796142578,,,4.8531928062438965,,,,,231.78912353515625,,7.9209244403881405,7.74953103101511,21.759462076811865,,134.18857238680286,15.863287134132923,,,4.8531928062438965,,,,,215.90200805664062,,7.577215282005731,7.464470192155465,21.167814849282184,,128.96353207333092,15.472060972184897,,,4.8531928062438965,,,,,230.56704711914062,,7.694389163486902,7.626102759468522,21.355638225872827,,128.96353207333092,15.835341773751814,,,0,,,,,3198,,1421000,209800,6348560,,28300.0,9843000
2020-01-10,,,,4.8531928062438965,,,,,216.7167205810547,,7.710012912750244,7.620225429534912,21.593549728393555,,131.41770935058594,15.835350036621094,,,4.8531928062438965,,,,,224.0492401123047,,7.780317101873629,7.620225429534912,21.90658987051306,,135.77190442396386,15.975073358079126,,,4.8531928062438965,,,,,216.30935668945312,,7.577216276621347,7.417450282826988,21.08329325527076,,129.91352655616186,15.597820567810286,,,4.8531928062438965,,,,,217.93881225585938,,7.678766689247488,7.537939724654398,21.78763447285689,,134.66356715436862,15.602477241964902,,,0,,,,,2408,,926500,417200,5833397,,31325.0,6283800
2020-01-13,,,,4.8531928062438965,,,,,226.49342346191406,,7.834996223449707,7.611409664154053,21.803285598754883,,131.1010284423828,15.984384536743164,,,4.8531928062438965,,,,,228.93759155273438,,7.8818659217166855,7.699573048070847,21.812676766494196,,133.71354841696058,16.03561682318753,,,4.8531928062438965,,,,,217.5314483642578,,7.733445831345071,7.532062786786606,21.1333775116589,,130.62602892881293,15.840002800097947,,,4.8531928062438965,,,,,217.93881225585938,,7.811561746800509,7.649613965342332,21.678068831807796,,133.39688710790142,15.872606617844534,,,0,,,,,2712,,666400,283100,4959455,,14475.0,8200200
